node,score
712,250000
995,250000
1083,250000
1095,250000
1438,250000
2051,250000
2241,250000
2418,250000
2762,250000
2782,250000
3471,250000
3535,250000
3559,250000
3909,250000
4226,250000
5069,250000
5209,250000
5900,250000
6368,250000
7012,250000
7313,250000
7814,250000
7855,250000
8336,250000
8757,250000
8855,250000
9057,250000
9987,250000
43,240000
1670,240000
3255,240000
3964,240000
4010,240000
6357,240000
6897,240000
7335,240000
7736,240000
7900,240000
8083,240000
8368,240000
9155,240000
9583,240000
9766,240000
176,230000
507,230000
885,230000
988,230000
1228,230000
1969,230000
2032,230000
2132,230000
2295,230000
2778,230000
5342,230000
6029,230000
6086,230000
8136,230000
9497,230000
95,220000
1159,220000
1272,220000
1600,220000
2124,220000
2692,220000
2761,220000
2952,220000
3215,220000
3462,220000
5574,220000
6176,220000
6899,220000
7406,220000
8215,220000
8544,220000
8938,220000
1200,210000
2342,210000
2783,210000
3963,210000
4838,210000
5155,210000
5192,210000
6687,210000
7670,210000
8341,210000
3558,200000
4036,200000
5364,200000
6370,200000
6747,200000
8434,200000
8597,200000
8766,200000
300,190000
1439,190000
3911,190000
5204,190000
7181,190000
9839,190000
9946,190000
1820,180000
2861,180000
7448,180000
9631,180000
1355,170000
2950,170000
4392,170000
4425,170000
7922,170000
9153,170000
668,160000
2862,160000
5479,160000
8765,160000
100,150000
3052,150000
7919,140000
9370,140000
2330,130000
3758,130000
1881,120000
3050,120000
3707,120000
5549,120000
3146,110000
6459,110000
1758,100000
2863,80000
9416,70000
5652,30000
1882,138
5575,118
1048,115
6369,113
6254,104
624,101
2866,101
4225,98
8283,95
7921,91
9769,88
9092,87
9289,87
1886,86
3912,83
9154,81
968,80
8940,80
2927,79
1204,78
2779,78
2780,78
2781,78
2864,78
2865,78
3465,78
8709,75
1026,74
3961,74
616,73
5410,73
2046,71
9948,71
3054,67
8340,66
996,65
3790,65
1245,61
2333,61
4209,61
6250,61
4662,60
7545,60
2130,58
2213,58
2971,58
4129,58
4301,58
5458,58
9632,58
9897,58
1411,57
2123,57
6449,57
7009,57
8806,57
301,56
2578,56
3147,56
4720,56
5027,56
7520,56
644,55
2173,55
9369,55
1777,54
6367,54
8359,54
8380,54
9166,54
714,53
2552,53
3286,53
3622,53
6799,53
7220,53
7336,53
8185,53
3051,52
3910,52
5120,52
6371,52
7920,52
8457,52
9367,52
9649,52
3154,51
4281,51
5088,51
7020,51
7859,51
8705,51
9942,51
1716,50
1966,50
2978,50
3498,50
6359,50
7892,50
9240,50
1098,49
1883,49
5072,49
6695,49
8615,49
8828,49
446,48
866,48
1814,48
5760,48
7695,48
9767,48
5146,47
5820,47
9758,47
1054,46
1301,46
2562,46
3163,46
5445,46
7134,46
99,44
2501,44
5191,44
5453,44
15,43
1841,43
2642,43
4489,43
1230,42
8756,42
9186,42
106,41
997,41
2835,41
4426,41
5651,41
6630,41
6982,41
7447,41
8995,41
824,40
2690,40
3157,40
4447,40
7658,40
8674,40
7405,39
1821,38
3807,38
5464,38
5491,38
7914,38
8230,38
547,37
2853,37
2986,37
3182,37
3534,37
4568,37
6748,37
7352,37
8212,37
8342,37
9313,37
174,36
1403,36
2419,36
4264,36
4297,36
5123,36
6837,36
6843,36
9177,36
27,35
175,35
1618,35
1710,35
1791,35
1943,35
2021,35
2967,35
4173,35
4293,35
5603,35
6805,35
7218,35
7487,35
2626,34
3962,34
4693,34
4906,34
5352,34
5541,34
6902,34
8491,34
8545,34
8560,34
9354,34
9408,34
9867,34
248,33
856,33
1191,33
1396,33
1984,33
2055,33
2594,33
2817,33
3144,33
3219,33
3774,33
4023,33
6163,33
7072,33
7659,33
8249,33
8366,33
8526,33
8726,33
9258,33
9546,33
9558,33
9739,33
9765,33
171,32
563,32
1239,32
1361,32
1478,32
1641,32
1884,32
2676,32
3376,32
4009,32
4811,32
4841,32
5435,32
5758,32
6303,32
6555,32
8236,32
9163,32
9415,32
463,31
539,31
558,31
781,31
937,31
1033,31
1968,31
2134,31
2292,31
2858,31
3305,31
3391,31
4445,31
4454,31
5006,31
5206,31
5789,31
5920,31
6142,31
6319,31
6689,31
7073,31
7105,31
7274,31
7312,31
7843,31
7894,31
8653,31
8755,31
9081,31
9388,31
9519,31
9741,31
108,30
337,30
1435,30
1437,30
2022,30
2144,30
2151,30
2953,30
3187,30
3394,30
3501,30
4246,30
4583,30
4663,30
4761,30
4868,30
4913,30
5662,30
5718,30
5988,30
6199,30
6239,30
6624,30
7300,30
7821,30
8239,30
8334,30
8436,30
8482,30
8672,30
8839,30
8939,30
8943,30
9759,30
9868,30
9964,30
173,29
433,29
788,29
821,29
1034,29
1160,29
1202,29
1242,29
1581,29
1764,29
1865,29
1923,29
2240,29
2242,29
2348,29
2696,29
2815,29
2907,29
3125,29
3164,29
3268,29
3470,29
3504,29
3745,29
4142,29
4396,29
4433,29
4679,29
4880,29
5033,29
5089,29
5210,29
5283,29
5291,29
5335,29
5385,29
5499,29
5643,29
6047,29
6394,29
6678,29
6688,29
7118,29
7291,29
7384,29
7390,29
9006,29
9060,29
9498,29
9499,29
9584,29
8,28
101,28
136,28
299,28
378,28
576,28
774,28
817,28
1106,28
1227,28
1427,28
1616,28
1650,28
1822,28
1866,28
1885,28
2211,28
2243,28
2297,28
2361,28
2668,28
2807,28
3165,28
3254,28
3280,28
3373,28
3523,28
3530,28
3709,28
3756,28
3757,28
4076,28
4252,28
4546,28
4773,28
5152,28
5153,28
5380,28
5737,28
6085,28
6360,28
6409,28
7052,28
7782,28
8186,28
8213,28
8251,28
8435,28
8593,28
8611,28
8801,28
8883,28
9059,28
9412,28
9548,28
9570,28
9630,28
9733,28
9828,28
9838,28
44,27
417,27
488,27
669,27
1000,27
1023,27
1081,27
1199,27
1201,27
1215,27
1970,27
1971,27
2145,27
2232,27
2595,27
2921,27
2954,27
3003,27
3062,27
3256,27
3461,27
3472,27
3638,27
3708,27
3743,27
3754,27
3755,27
3791,27
3965,27
3972,27
4035,27
4391,27
4400,27
4474,27
4646,27
4766,27
4966,27
5035,27
5200,27
5205,27
5242,27
5290,27
5444,27
6175,27
6177,27
6267,27
6358,27
6753,27
6898,27
7407,27
7784,27
8027,27
8035,27
8084,27
8135,27
8150,27
8300,27
8458,27
8473,27
8654,27
8758,27
8854,27
8976,27
9058,27
9173,27
9302,27
9368,27
9547,27
9591,27
9768,27
9988,27
94,26
96,26
416,26
498,26
500,26
506,26
570,26
685,26
713,26
715,26
989,26
998,26
999,26
1082,26
1084,26
1094,26
1226,26
1229,26
1273,26
1356,26
1599,26
1757,26
2033,26
2050,26
2131,26
2331,26
2341,26
2629,26
2691,26
2881,26
2949,26
2951,26
2955,26
3011,26
3145,26
3214,26
3257,26
3473,26
3532,26
3533,26
3684,26
3710,26
3819,26
3960,26
4114,26
4224,26
5051,26
5070,26
5071,26
5073,26
5154,26
5211,26
5343,26
5365,26
5494,26
5548,26
5721,26
5722,26
5766,26
5874,26
5987,26
6076,26
6087,26
6088,26
6174,26
6564,26
6582,26
6646,26
6685,26
6686,26
6690,26
6900,26
7013,26
7180,26
7337,26
7735,26
7853,26
7856,26
7901,26
7902,26
7903,26
8134,26
8214,26
