node,p_I,p_S,p_R
0,0.0022281304226184568,0.995964619910592,0.0018072496667895018
1,0.00054146984591998,0.9987861806691923,0.0006723494848876839
2,0.00014922968714737184,0.999208872040799,0.0006418982720536271
3,0.0010842609349633737,0.9984366173603487,0.0004791217046879046
4,0.0010251523295908345,0.9986468331690428,0.00032801450136637415
5,0.016599541383821262,0.981921068945375,0.0014793896708037288
6,0.006920524255721861,0.9925146398137604,0.0005648359305177146
7,0.004510007299097218,0.993038478233807,0.0024515144670958057
8,0.050656925170847064,0.9381756111089514,0.01116746372020151
9,0.0013547150705771065,0.9982449488011107,0.000400336128312195
10,0.0007182520094196795,0.9989690157430849,0.00031273224749537784
11,0.0008571457457986866,0.9988173399362226,0.00032551431797874327
12,0.0007153559226581996,0.998810638063347,0.00047400601399477774
13,0.0003189342885514188,0.9993336750282666,0.00034739068318193756
14,0.0008262005149920204,0.9988541418583149,0.0003196576266930873
15,0.0008249846601251376,0.9985740218170639,0.0006009935228109676
16,0.0013614326587627395,0.9975892716027986,0.0010492957384386165
17,0.0017271882873108751,0.9974039220319936,0.0008688896806955521
18,0.019144571290326113,0.9787653808273065,0.0020900478823674233
19,0.00982148148647784,0.9775028751060042,0.01267564340751796
20,0.0038650952417530046,0.9946029772791033,0.0015319274791437002
21,0.006304159139528415,0.9911985503016356,0.002497290558835968
22,0.002080295869241782,0.9975637678592967,0.0003559362714615385
23,0.0034892338851269375,0.995028563999468,0.0014822021154050214
24,0.0049326783562939,0.9919408485318775,0.003126473111828628
25,0.00101109300783391,0.9982958750037468,0.0006930319884192545
26,0.003206718057845838,0.9958116936860203,0.0009815882561338683
27,0.007323572685059152,0.9897635433764151,0.0029128839385257036
28,0.006919828063119814,0.9870319016986021,0.006048270238278076
29,0.004557526689177669,0.989642631730024,0.00579984158079835
30,0.0027860420517250347,0.9960890480928797,0.0011249098553952847
31,0.0024377145917249075,0.9967228300343678,0.0008394553739073018
32,0.0009500605376110718,0.9983532500110635,0.0006966894513254748
33,0.00034929492973485507,0.9989051393972896,0.0007455656729755018
34,0.004120728607971757,0.9945966588482158,0.0012826125438124458
35,0.0005445508836993375,0.9986671272794092,0.0007883218368914567
36,0.00047986390392739916,0.9989850856126965,0.0005350504833761013
37,0.0002591127604116537,0.9997017743044746,3.911293511374662e-05
38,0.01393729485857851,0.9804889782009168,0.00557372694050464
39,0.02217260302596606,0.9725265901753222,0.005300806798711768
40,0.010750812465177248,0.98525436586425,0.003994821670572782
41,0.002131663430768427,0.9972266578509261,0.0006416787183054498
42,0.0005534649205676295,0.9984449043742343,0.0010016307051980938
43,0.006778532605423129,0.9787953261515816,0.01442614124299527
44,0.0010002559119057677,0.9978509239345706,0.0011488201535235884
45,0.002435667820802297,0.9967278865627771,0.0008364456164205929
46,0.002478030372047981,0.9966400695335095,0.000881900094442543
47,0.038962522507032304,0.9564315510778543,0.004605926415113425
48,0.0017203414097379317,0.9977136020541393,0.0005660565361227868
49,0.004822404399364302,0.9929853807445211,0.002192214856114558
50,0.0031653379839439713,0.9959321685574892,0.0009024934585668009
51,0.010944026034418188,0.9867166287393415,0.002339345226240295
52,0.0013605217280213589,0.9981167748889532,0.0005227033830254124
53,0.0007573058414535381,0.9991535506132961,8.91435452503244e-05
54,0.0016213481637298512,0.9978602571834123,0.0005183946528578351
55,0.0032064260169743014,0.9948577755516278,0.0019357984313979
56,0.004367907107780417,0.9941351920223868,0.0014969008698328223
57,0.0033821145461046523,0.9950450523191452,0.0015728331347501518
58,0.0027173291237014455,0.9966282495821913,0.0006544212941072379
59,0.0005364916078026394,0.999239007070029,0.0002245013221683656
60,0.002049224270354969,0.9971594114760514,0.0007913642535936705
61,0.001028450022850053,0.9988882933597324,8.325661741755376e-05
62,0.005158425060576815,0.9934383221064302,0.001403252832992947
63,0.004633908455684911,0.9922586317270564,0.003107459817258672
64,0.03780573817720753,0.955350052411561,0.006844209411231455
65,0.0014075218275275293,0.9980153529424622,0.0005771252300102291
66,0.0032532146835447875,0.9953215641723352,0.0014252211441200188
67,0.001805292860074949,0.9977232637053332,0.00047144343459189886
68,0.0012267266684621333,0.9981977289578344,0.0005755443737034374
69,0.004042119565551595,0.9945683127810979,0.001389567653350486
70,0.002219534308760776,0.9967377458232062,0.0010427198680330457
71,0.014763085454767878,0.9837928621094036,0.0014440524358284787
72,0.03839312406762558,0.9546825667232794,0.006924309209094972
73,0.015999126719892266,0.9769354153718529,0.007065457908254822
74,0.0026939887951323905,0.9965786735570594,0.0007273376478081849
75,0.007096761164791754,0.9893567502553633,0.003546488579844953
76,0.02223145784891342,0.9758109210174343,0.0019576211336523085
77,0.003235485402540264,0.9942559299323304,0.002508584665129374
78,0.0015017937262156535,0.9979640174842027,0.0005341887895816319
79,0.01163065860265404,0.9859982424816502,0.002371098915695715
80,0.0017743959708903048,0.9977312406725212,0.0004943633565885261
