node,score
28,250000
428,250000
1569,250000
2241,250000
2397,250000
3535,250000
5483,250000
5484,250000
5896,250000
7105,250000
7814,250000
7855,250000
8942,250000
838,240000
1615,240000
2842,240000
4341,240000
7335,240000
8820,240000
512,230000
895,230000
988,230000
1087,230000
1632,230000
2132,230000
6086,230000
7884,230000
9845,230000
9858,230000
298,220000
1600,220000
3215,220000
3498,220000
6176,220000
7723,220000
9369,220000
840,210000
4145,210000
8341,210000
9953,210000
5364,200000
6370,200000
6747,200000
8597,200000
8766,200000
300,190000
1374,190000
1439,190000
3510,190000
6254,190000
9839,190000
7448,180000
9092,180000
1355,170000
2950,170000
9153,170000
5072,160000
7384,160000
1757,140000
2355,130000
2562,110000
2021,100000
1882,90000
5502,90000
1023,107
7624,104
7118,90
3579,87
8283,87
3462,84
8940,83
9140,74
5575,72
1431,68
834,67
1700,64
1837,64
6044,61
8640,58
1048,57
863,56
1618,55
7821,55
839,54
2927,54
6367,53
837,52
5482,52
9173,52
9367,52
4662,50
6368,50
6369,50
7447,50
3961,48
8457,48
5766,47
2807,46
3465,45
9649,45
1861,44
3845,44
9859,44
616,43
6898,42
2849,41
4035,41
7576,41
7919,41
5413,40
6495,40
2121,39
3522,39
5380,39
5491,39
2570,38
4192,38
6252,38
8367,38
1088,37
6748,37
7009,37
996,36
6535,36
6843,36
2835,35
3087,35
3790,35
4568,35
1165,34
3427,34
5541,34
1013,33
3285,33
3405,33
5788,33
6460,33
8090,33
9255,33
9258,33
9408,33
9454,33
861,32
1710,32
2263,32
2396,32
2523,32
3326,32
4281,32
5445,32
5636,32
6187,32
6872,32
7520,32
8816,32
9247,32
9472,32
9708,32
9819,32
686,31
1979,31
2333,31
3050,31
3912,31
4447,31
4670,31
6440,31
6739,31
8672,31
8709,31
9264,31
9388,31
507,30
921,30
968,30
1777,30
2047,30
2134,30
2763,30
2971,30
2978,30
3000,30
3948,30
4606,30
5027,30
5069,30
5522,30
5789,30
6309,30
7084,30
7383,30
8544,30
9048,30
9394,30
9857,30
9978,30
328,29
585,29
1040,29
1484,29
1764,29
1923,29
2240,29
2342,29
2761,29
3679,29
3758,29
3774,29
4146,29
4226,29
5209,29
5365,29
5488,29
6583,29
6710,29
8560,29
9240,29
9317,29
9519,29
9548,29
