node,score
384,250000
834,250000
995,250000
1063,250000
1083,250000
2397,250000
2418,250000
2786,250000
3471,250000
3535,250000
3831,250000
4670,250000
6368,250000
6688,250000
7012,250000
7105,250000
7814,250000
8189,250000
8855,250000
9057,250000
9289,250000
9828,250000
181,240000
200,240000
299,240000
1165,240000
1393,240000
1670,240000
2700,240000
2842,240000
3224,240000
4109,240000
4210,240000
5695,240000
6555,240000
6897,240000
7335,240000
8583,240000
9155,240000
9766,240000
507,230000
885,230000
1632,230000
2295,230000
2386,230000
2522,230000
3763,230000
3999,230000
4246,230000
5342,230000
6029,230000
6086,230000
6811,230000
7884,230000
9140,230000
9154,230000
9630,230000
9845,230000
1159,220000
1600,220000
2124,220000
2692,220000
2761,220000
2952,220000
3215,220000
7268,220000
7406,220000
9012,220000
9369,220000
9667,220000
840,210000
2046,210000
2342,210000
2783,210000
5155,210000
5192,210000
6687,210000
7007,210000
7191,210000
7695,210000
8632,210000
9586,210000
9953,210000
1356,200000
3558,200000
5159,200000
5364,200000
6747,200000
8434,200000
8766,200000
300,190000
886,190000
1374,190000
3163,190000
5204,190000
7181,190000
9839,190000
9946,190000
1820,180000
7448,180000
7715,180000
9092,180000
1355,170000
1618,170000
2123,170000
2523,170000
2950,170000
4392,170000
7922,170000
2594,160000
6591,160000
7009,160000
100,150000
3052,150000
8212,150000
6611,140000
8283,140000
1881,120000
3050,120000
5549,120000
3146,110000
1886,100000
2021,100000
3465,60000
824,40000
1885,40000
2807,30000
1882,141
7919,140
99,139
7417,110
9153,109
1204,103
1883,101
996,97
4225,97
389,92
9769,89
2927,85
9762,84
2668,83
8940,83
1777,81
1884,79
8457,79
428,78
1023,77
5502,77
7447,77
8359,77
8709,75
9649,75
8340,74
5410,73
9099,73
4662,71
8597,71
6898,69
1392,68
9948,67
5820,66
2330,65
3462,65
6370,65
1048,63
4250,62
5636,61
7921,61
8367,61
4209,60
9454,60
856,59
2333,59
806,58
1361,58
1923,58
4129,58
4720,58
7889,58
8159,58
1411,57
3164,57
6583,57
7352,57
8806,57
6689,56
7384,56
8765,56
108,55
2047,55
2173,55
2578,55
6748,55
6805,55
8038,55
301,54
988,54
7220,54
1087,53
2552,53
4671,53
7008,53
8185,53
668,52
1437,52
2696,52
3051,52
4679,52
6685,52
6686,52
6690,52
7006,52
7010,52
616,51
3054,51
3467,51
4408,51
1716,50
3498,50
3961,50
4425,50
8732,50
9367,50
624,49
1841,49
2869,49
5874,49
7821,49
8426,49
9416,49
889,48
1183,48
1569,48
1814,48
5146,48
9370,48
9767,48
1431,47
2711,47
7576,47
1054,46
2920,46
5072,46
8005,46
9672,46
2787,45
5575,45
6859,45
644,44
1242,44
3611,44
3845,44
9264,44
1323,43
3315,43
7405,43
921,42
4043,42
5491,42
7118,42
7914,42
997,41
4447,41
5380,41
9059,41
863,40
1700,40
7658,40
8511,40
9560,40
1427,39
3510,39
