node,p_I,p_S,p_R
0,1.0,0.0,0.0
1,0.1306251611133844,0.8392377565961807,0.03013708229043488
2,0.0058227439317519135,0.9922785595242385,0.0018986965440095961
3,0.04628175985521517,0.939451118846917,0.01426712129786782
4,0.04199369493506854,0.9399123108452527,0.01809399421967873
5,0.04422958842024956,0.9461471106548891,0.009623300924861338
6,0.053938602514373823,0.933903758642954,0.012157638842672125
7,0.06075018020350609,0.9209535888527831,0.018296230943710797
8,0.06681828744286056,0.9045181728670654,0.028663539690074066
9,0.09866156701677062,0.8830466380030255,0.018291794980203863
10,0.2780651164637238,0.628059253764013,0.09387562977226324
11,0.0701930856530229,0.91320244302188,0.016604471325097073
12,0.08178539166771592,0.903761839179518,0.014452769152766047
13,0.045982552976134156,0.9436542220763985,0.010363224947467362
14,0.04727468476377035,0.9415435864856482,0.011181728750581477
15,0.058899645500981465,0.9258385932944057,0.015261761204612884
16,0.025847123735496278,0.9686174614960115,0.005535414768492254
17,0.10002361502783297,0.8835582277052826,0.016418157266884455
18,0.15992580674885848,0.79276032024284,0.04731387300830148
19,0.026085731817434142,0.9690080467532654,0.004906221429300508
20,0.12260970091892473,0.8493502945305668,0.0280400045505085
21,0.04774654381360618,0.93895991235456,0.013293543831833822
22,0.04437941117624334,0.9456001927833603,0.010020396040396388
23,0.07839217683669895,0.9032803720289831,0.018327451134317895
24,0.07089860197122111,0.9060258563303158,0.02307554169846304
25,0.011298479337514482,0.9859603274332218,0.0027411932292637016
26,0.07053961676705067,0.8985615413790626,0.0308988418538867
27,0.1749906959828349,0.6677961298230658,0.1572131741940993
28,0.06677286215247209,0.9095183452497458,0.02370879259778207
29,0.052868387176580364,0.9308500528455537,0.01628155997786597
30,0.05361602320424741,0.9323165062169767,0.014067470578775885
31,0.05461961072742795,0.9252968823602853,0.02008350691228676
32,0.013278437794254336,0.9822326292680353,0.004488932937710324
33,0.020481327044652487,0.9735999510600842,0.0059187218952632785
34,0.16219968062638307,0.7641969175757546,0.07360340179786233
35,0.02143913843676837,0.971178273668353,0.007382587894878664
36,0.026845245899059133,0.9662066021662754,0.006948151934665459
37,0.008507798582214916,0.9893323893624106,0.0021598120553744486
38,0.04336321964539771,0.9037269467915929,0.05290983356300936
39,0.12025507434322093,0.8542646962822903,0.025480229374488784
40,0.04651357411788277,0.9383879828724695,0.015098443009647735
41,0.04577137589597543,0.9438393145862378,0.01038930951778675
42,0.03068742261399251,0.9639779299980008,0.005334647388006689
43,0.3487181200143781,0.0,0.6512818799856219
44,0.1597799129562596,0.709672303307791,0.13054778373594944
45,0.053760481957920624,0.9263743329518574,0.019865185090221928
46,0.06145301568876141,0.8582110620503302,0.08033592226090844
47,0.08287854810565276,0.8808070320578942,0.036314419836453005
48,0.17497313197066364,0.7643072810780506,0.060719586951285785
49,0.06141639445839166,0.9190967567216247,0.01948684881998362
50,0.139885486245379,0.8114759469409663,0.048638566813654756
51,0.0703110370229547,0.9093978278472513,0.02029113512979398
52,0.06983524624475675,0.8988493594762557,0.03131539427898759
53,0.03313242046382053,0.9593846049860968,0.007482974550082681
54,0.08698568627743074,0.8908247306286702,0.02218958309389908
55,0.0697851511768326,0.9096871946322307,0.02052765419093671
56,0.139159006559336,0.8238450985011002,0.03699589493956378
57,0.05420864099302128,0.9319607832031789,0.013830575803799844
58,0.10446668232720405,0.8717720391396531,0.023761278533142888
59,0.09560996363738497,0.89095702013937,0.013433016223245085
60,0.023974817812185887,0.970049117351762,0.005976064836052088
61,0.00949816587787198,0.9885405917586367,0.001961242363491287
62,0.051128742965391286,0.9376845331421031,0.011186723892505617
63,0.07830822473069671,0.8960567769549144,0.025634998314388917
64,0.039744195183622835,0.9445979135355483,0.015657891280828822
65,0.03172682498224698,0.9625057992012048,0.005767375816548195
66,0.094792278763246,0.8613860845220199,0.043821636714734075
67,0.07952352192674644,0.9019686049717698,0.01850787310148378
68,0.025666288668799962,0.9689585781081529,0.005375133223047148
69,0.055572525976654276,0.9317913054279114,0.012636168595434281
70,0.09682209821807818,0.8843804986642946,0.018797403117627245
71,0.04745008802782935,0.9431436410425357,0.009406270929634974
72,0.10981297483858242,0.8457236500748326,0.04446337508658495
73,0.04384842836594244,0.9415144534794784,0.014637118154579189
74,0.1174724260326029,0.8587201443944001,0.02380742957299696
75,0.16371865526187313,0.7947374665338003,0.04154387820432659
76,0.05247058473035679,0.9282351817217216,0.01929423354792162
77,0.10683273344924285,0.8543651115567861,0.03880215499397107
78,0.06649304597689248,0.9155002532474135,0.018006700775694044
79,0.15330011896031048,0.7887784339128209,0.05792144712686864
80,0.2343626371282547,0.7031027365978121,0.06253462627393322
81,0.08255439173169259,0.9007430497563039,0.016702558512003488
