node,p_I,p_S,p_R
0,0.10858164100534821,0.8337827738058782,0.05763558518877361
1,0.01832521215299241,0.9751717849626718,0.006503002884335829
2,0.004412361098506156,0.9940542669822306,0.0015333719192631935
3,0.030105114170143454,0.9592989128138105,0.010595973016046024
4,0.04282516167549423,0.9253975910554891,0.03177724726901664
5,0.021004341822317342,0.9737606475892491,0.005235010588433584
6,0.056803499957914325,0.9211956447887889,0.022000855253296776
7,0.08516439840536663,0.8874708415178193,0.027364760076814064
8,0.14613825827179588,0.7635776276322402,0.09028411409596389
9,0.03566229572050215,0.9575410846053742,0.006796619674123615
10,0.613418364913825,0.0,0.386581635086175
11,0.08075032919908293,0.8865882732740048,0.03266139752691227
12,0.10922034706276465,0.8542310374282017,0.036548615509033634
13,0.09515639893328741,0.8789323162656865,0.025911284801026127
14,0.07134038522090033,0.9081575623769892,0.020502052402110477
15,0.05753284396547366,0.9144495461748776,0.028017609859648723
16,0.01010011025364883,0.9842218453922809,0.0056780443540703105
17,0.040156412794211005,0.9494753365057254,0.010368250700063638
18,0.05422832877823178,0.9290720829942085,0.016699588227559705
19,0.009673325816404229,0.9879623349568426,0.0023643392267531683
20,0.0627366165540541,0.9290240835493299,0.00823929989661603
21,0.03141875252983389,0.9602098857732477,0.008371361696918378
22,0.019437591168259914,0.9748044436313441,0.005757965200395977
23,0.04353472452540899,0.9424757326752095,0.013989542799381555
24,0.0714073501208099,0.9109862187713234,0.017606431107866742
25,0.031304653987984495,0.9572199245785228,0.01147542143349272
26,0.07143649731017765,0.903595618917742,0.02496788377208036
27,0.0926168513536281,0.8112597546234552,0.09612339402291667
28,0.5026295998156507,0.0,0.49737040018434925
29,0.03924457116852918,0.9490972193957187,0.011658209435752144
30,0.055026182105587795,0.9253196510740058,0.019654166820406386
31,0.020156526341030753,0.9717253309471912,0.008118142711778091
32,0.004145615811749043,0.9943027371595744,0.001551647028676556
33,0.004510597830576214,0.9939597311922969,0.0015296709771269279
34,0.08715491443174561,0.8829410301863043,0.02990405538195006
35,0.01016783303692059,0.9862346093060013,0.003597557657078147
36,0.014574303121780834,0.9810791963131077,0.004346500565111473
37,0.02791525741636204,0.9655556022699285,0.006529140313709421
38,0.1055085656376168,0.8247177143998541,0.06977371996252911
39,0.2968928907059405,0.4935780263131568,0.20952908298090267
40,0.09482897981478011,0.8594360823065634,0.04573493787865646
41,0.043938184853069384,0.9427135215007539,0.013348293646176679
42,0.041938942131075393,0.9405717444367819,0.017489313432142675
43,0.4323142514398123,0.0,0.5676857485601877
44,0.12749919353977499,0.80579496155022,0.066705844910005
45,0.03979098128624017,0.9434122557195078,0.016796762994252014
46,0.04626788354397299,0.9181543349770716,0.03557778147895546
47,0.08800082863353488,0.8736228295234483,0.038376341843016845
48,0.1327273862670572,0.8257193135681402,0.04155330016480257
49,0.11366257776517089,0.8485470808218658,0.0377903414129633
50,0.055870878508018515,0.9236926862706166,0.020436435221364863
51,0.0894262137007183,0.8680550283271832,0.04251875797209854
52,0.03701779323098497,0.9485507691368728,0.01443143763214228
