node,score
57,350000
110,350000
280,350000
339,350000
355,350000
378,350000
562,350000
677,350000
711,350000
726,350000
738,350000
743,350000
918,350000
1058,350000
1423,350000
1441,350000
1459,350000
1559,350000
1766,350000
1918,350000
1936,350000
1986,350000
1994,350000
2007,350000
2042,350000
2284,350000
2364,350000
2530,350000
2644,350000
2738,350000
2759,350000
2772,350000
2799,350000
2887,350000
2942,350000
3016,350000
3028,350000
3064,350000
3155,350000
3323,350000
3331,350000
3409,350000
3451,350000
3500,350000
3565,350000
3858,350000
4105,350000
4125,350000
4305,350000
4378,350000
4449,350000
4455,350000
4480,350000
4546,350000
4835,350000
4909,350000
5027,350000
5039,350000
5046,350000
5062,350000
5150,350000
5194,350000
5212,350000
5267,350000
5379,350000
5603,350000
5616,350000
5645,350000
5705,350000
5753,350000
5966,350000
6028,350000
6101,350000
6287,350000
6346,350000
6352,350000
6421,350000
6464,350000
6480,350000
6583,350000
6608,350000
6644,350000
6725,350000
6913,350000
6927,350000
6940,350000
7000,350000
7193,350000
7198,350000
7217,350000
7219,350000
7296,350000
7298,350000
7314,350000
7450,350000
7468,350000
7504,350000
7714,350000
7728,350000
7796,350000
7866,350000
8302,350000
8416,350000
8484,350000
8549,350000
8653,350000
8671,350000
8694,350000
8769,350000
8853,350000
9001,350000
9071,350000
9172,350000
9379,350000
9408,350000
9480,350000
9611,350000
9815,350000
56,340000
121,340000
197,340000
202,340000
217,340000
309,340000
340,340000
380,340000
550,340000
587,340000
628,340000
684,340000
816,340000
909,340000
914,340000
919,340000
945,340000
1009,340000
1020,340000
1156,340000
1218,340000
1266,340000
1628,340000
1749,340000
2044,340000
2050,340000
2069,340000
2091,340000
2148,340000
2323,340000
2382,340000
2439,340000
2577,340000
2742,340000
2850,340000
3001,340000
3176,340000
3210,340000
3225,340000
3291,340000
3314,340000
3339,340000
3361,340000
3455,340000
3521,340000
3712,340000
3793,340000
3797,340000
3923,340000
3957,340000
4328,340000
4518,340000
4534,340000
4709,340000
4964,340000
5083,340000
5197,340000
5235,340000
5416,340000
5711,340000
5768,340000
5879,340000
5983,340000
6245,340000
6375,340000
6545,340000
6599,340000
6651,340000
6845,340000
6931,340000
7151,340000
7173,340000
7212,340000
7248,340000
7353,340000
7375,340000
7407,340000
7424,340000
7431,340000
7457,340000
7482,340000
7566,340000
7574,340000
7773,340000
7831,340000
7856,340000
8334,340000
8362,340000
8478,340000
8564,340000
8598,340000
8872,340000
9329,340000
9392,340000
9423,340000
9453,340000
9810,340000
9833,340000
9883,340000
9931,340000
9952,340000
80,330000
464,330000
474,330000
695,330000
701,330000
970,330000
980,330000
1048,330000
1074,330000
1230,330000
1378,330000
1814,330000
1860,330000
2073,330000
2105,330000
2136,330000
2177,330000
2183,330000
2188,330000
2574,330000
2637,330000
2734,330000
2749,330000
2780,330000
2896,330000
2953,330000
3129,330000
3213,330000
3622,330000
3653,330000
3698,330000
3777,330000
3851,330000
3955,330000
4000,330000
4202,330000
4385,330000
4464,330000
4547,330000
4564,330000
4585,330000
4706,330000
4740,330000
4769,330000
4778,330000
4877,330000
4879,330000
5025,330000
5283,330000
5319,330000
5410,330000
5588,330000
5759,330000
5881,330000
6082,330000
6724,330000
7486,330000
7496,330000
7708,330000
7865,330000
7987,330000
8079,330000
8232,330000
8247,330000
8252,330000
8266,330000
8340,330000
8413,330000
8723,330000
8754,330000
9027,330000
9428,330000
9688,330000
9728,330000
9862,330000
84,320000
103,320000
136,320000
234,320000
408,320000
632,320000
860,320000
1126,320000
1221,320000
1257,320000
1258,320000
1424,320000
1524,320000
1544,320000
2017,320000
2099,320000
2232,320000
2259,320000
2533,320000
2627,320000
2699,320000
2811,320000
2815,320000
2927,320000
2949,320000
2999,320000
3612,320000
3628,320000
3631,320000
3762,320000
3843,320000
3914,320000
4396,320000
4411,320000
4450,320000
4728,320000
4803,320000
4813,320000
4898,320000
5009,320000
5138,320000
5315,320000
5362,320000
5580,320000
5619,320000
5760,320000
6258,320000
6605,320000
6758,320000
6920,320000
7084,320000
7086,320000
7322,320000
7358,320000
7537,320000
7620,320000
8105,320000
8202,320000
8438,320000
8453,320000
8466,320000
8563,320000
8581,320000
8630,320000
8673,320000
8842,320000
8975,320000
9147,320000
9319,320000
9415,320000
9722,320000
9733,320000
9734,320000
9863,320000
205,310000
685,310000
1077,310000
1084,310000
